absolvuje
absorbuje
adoptuje
adresuje
akceleruje
aktivuje
alokuje
amnestuje
amputuje
analyzuje
anuluje
archivuje
argumentuje
asistuje
avizuje
bací
bafe
bagatelizuje
balamutí
balí
se bojí
se baví
bdí
bečí
běduje
běhá
běsní
běží
bičuje
bifluje
bimbá
bije
blábolí
blahopřeje
blbne
bleje
bliká
blinká
se blíží
bloudí
se blýská
bojuje
bolí
bombarduje
brání
si bere
brečí
brousí
bručí
budí
bulí
bumbá
burcuje
buší
bydlí
je
bývá
bzučí
cáká
cáluje
časuje
čechrá
čeká
čelí
čenichá
cení
cenzuruje
čerpá
červená
cestuje
cháluje
chápe
charakterizuje
chátrá
chcípne
chlácholí
chladne
chlastá
chlemtá
se chlubí
chodí
chodívá
chová
se chová
chřadne
chrání
chrchlá
chrní
chromí
chrstne
chce
chumelí
chutná
chválí
se chvástá
chvátá
se chvěje
chybí
chystá
chytá
chytí
čichá
číhá
cinká
čiší
čte
čistí
cítí
cituje
civí
cloní
cloumá
couvá
se cpe
ctí
čubrní
čučí
cuká
čumí
čurá
čvachtá
cvičí
cvrká
cvrnká
dabuje
daruje
dává
se dáví
dbá
deaktivuje
decimuje
defilíruje
dekóduje
dělá
deleguje
dělí
dementuje
denervuje
depiluje
deportuje
detekuje
dezertuje
digitalizuje
diktuje
diskutuje
se dívá
dláždí
dobije
ďobne
dobyje
dochází
dočte
se dočká
dodá
dodrží
dodržuje
dohání
dojede
dojímá
dojí
dojde
dojíždí
dojme
dokáže
dokončí
dokope
domluví
donutí
dopadá
dopadne
doplní
doporučuje
se dopouští 
dopuje
doprovází
dopustí
dorazí
doručí
dosáhne
dosahuje
doskočí
dospěje
dospívá
dostává
se dotýká
doučuje
doufá
dovádí
dovede
dovolí
dožádá
dožije
dozná
dozpívá
se dozví
drápne
dráždí
se drbe
dřepí
dřepuje
dře
drká
drtí
drží
dume
dupe
dusí
důvěřuje
dýchá
eliminuje
esemeskuje
eskortuje
existuje
expeduje
experimentuje
exportuje
fabuluje
fakturuje
fascinuje
federuje
fetuje
fičí
filmuje
finguje
flambuje
flámuje
fotí
fotografuje
fouká
frčí
frká
fučí
funguje
generuje
gumuje
hačá
se hádá
hajá
hamá
hapá
hasí
hasne
hází
hecuje
heká
hladí
hladoví
hlásí
hlasuje
hledá
hledí
hlídá
se hněvá
hnípe
hnisá
hnije
hážě
hodlá
hodnotí
hoduje
holí
honí
hoří
houká
hovoří
hrabe
hraje
hřeje
hřímá
hrká
hřmí
hrne
hrotí
hrozí
hubí
hučí
hvízdá
hýbá
hýčká
hypnotizuje
hýzdí
ignoruje
ilustruje
implementuje
importuje
infiltruje
informuje
inovuje
instaluje
investuje
jásá
jebe
ječí
jedná
jezdí
jeví
ježí
jí
jistí
jde
jmenuje
jódluje
kalí
kape
kapituluje
kárá
kašle
kastruje
kategorizuje
káže
kazí
kdáká
kecá
kejhá
kéruje
klasifikuje
klečí
klepe
klesá
kleje
klopí
se kochá
kojí
kokrhá
koktá
kolonizuje
komanduje
komentuje
komíhá
komolí
kompenzuje
komunikuje
koná
končí
konstatuje
kontroluje
konzervuje
kope
kopíruje
kopne
korumpuje
korunuje
kosí
kouká
koulí
koupí
kouří
kouše
kráčí
krájí
kráká
krákorá
kreslí
křičí
kritizuje
křivdí
krká
krmí
kroužkuje
křupe
krvácí
kryje
ksichtí se
kuchá
kuká
kupuje
kváká
kvasí
kvete
kvoká
kýchá
kydá
kyne
ladí
láduje
lajkuje
láká
láme
lebedí
léčí
lelkuje
lenoší
lepí
létá
leží
leze
lže
líbá
líčí
líná
lisuje
listuje
lije
lituje
líže
lomcuje
loupe
loupí
loutkaří
lpí
lyžuje
mačká
maká
maluje
mandluje
mapuje
maří
marodí
masíruje
mává
maže
mečí
naloží
navrhuje
navštíví
naznačuje
nazývá
nenávidí
nosí
ničí
nosí
se nudí
obalí
se obává
obchoduje
obědvá
obchází
objasňuje
objeví
objevuje
obklopí
se obléká
obsazuje
obsahuje
očekává
ocení
očichává
očmuchává
očumuje
odbivuje
odchází
odčítá
odletí
padá
pálí
si pamatuje 
panuje
papá
páře
parkuje
pašuje
pátrá
patří
peče
peláší
penetruje
pepří
peskuje
pěstuje
píchá
piluje
píská
rabuje
ráčí
radí
řádí
rafinuje
rajcuje
rdousí
reaguje
recykluje
ředí
resetuje
řeší
respektuje
reviduje
revokuje
řeže
saje
sází
sbírá
se schází
se schovává
schvaluje
sčítá
sděluje
sčítá
sedí
šéfuje
seká
sekýruje
šeptá
šermuje
sešlapává
šetří
setrvává
se seznamuje
shání
shlíží
shromažďuje
šidí
šikanuje
šílí
simuluje
šíří
šije
škádlí
skáče
skenuje
skládá
se šklebí
skloňuje
škodí
skomírá
skončí
skřípá
škrtne
skrývá
škube
slábne
šlape
slaví
sleduje
slibuje
slintá
slouží
slovíčkaří
slyší
slzí
šmakuje
se směje
smaží
šmíruje
smrdí
snáší
snaží se
sněží
snímá
solí
tleská
točí
toká
toleruje
topí
touží
transportuje
třese se
tráví
trénuje
trestá
trhá
třídí
tře
trká
se trmácí
troubí
trpí
se třpytí
trucuje
ťuká
tuneluje
tuší
tváří se
tvoří
tvrdí
ubližuje
se uchází
učiňuje
účinkuje
se učí 
se udělá
uděluje
udeří
udí
udrží
ví
vchází
velí
věnuje
verbuje
věří
věští
vesluje
větrá
vězí
vězní
vídá
vidí
vine
vinšuje
visí
víská
vítá
vítězí
vjíždí
vládne
zabírá
zabrousí
zabubnuje
zabučí
se zabývá
zachovává
začíná
žádá
žadoní
zahájuje
zahálí
zahazuje
zahrnuje
